Stress_Data,AE_Reduced_Data,,,,,,,,AE_Reduced_Data,Stress_Data,,,
0.567545954,10.9,,-0.566433557,2.388762789,-0.237124238,,,,,,,10.9,0.567545954
1.044882497,223.9,,0.043904436,5.411199524,0.008113624,,,,,,,223.9,1.044882497
1.486672511,973.68,,0.396540409,6.881082708,0.057627618,,,,,,,973.68,1.486672511
1.924891594,1108.04,,0.654869651,7.010347968,0.093414714,,,,,,,1108.04,1.924891594
2.318003942,1249.78,,0.840706446,7.130722815,0.11789919,,,,,,,1249.78,2.318003942
2.696077306,3169.78,,0.991797867,8.061417464,0.123030208,,,,,,,3169.78,2.696077306
3.080237133,4058.78,,1.125006585,8.308637715,0.135402051,,,,,,,4058.78,3.080237133
3.417027494,4484.78,,1.228771019,8.408444721,0.146135351,,,,,,,4484.78,3.417027494
3.74359803,4736.78,,1.320047189,8.463112859,0.155976555,,,,,,,4736.78,3.74359803
4.060992326,4846.78,,1.401427359,8.486069846,0.165144453,,,,,,,4846.78,4.060992326
4.345583305,4964.08,,1.469159997,8.509983262,0.172639587,,,,,,,4964.08,4.345583305
4.60850169,6544.08,,1.527902791,8.786316103,0.173895723,,,,,,,6544.08,4.60850169
4.859546392,6780.92,,1.580945099,8.821868065,0.17920752,,,,,,,6780.92,4.859546392
5.093118323,6973.92,,1.62789028,8.849932756,0.183943802,,,,,,,6973.92,5.093118323
5.321692784,7484.79,,1.671791445,8.92062824,0.187407366,,,,,,,7484.79,5.321692784
5.53881439,7668.99,,1.711780469,8.944940204,0.191368576,,,,,,,7668.99,5.53881439
5.753453065,7815.58,,1.749800208,8.963874456,0.195205791,,,,,,,7815.58,5.753453065
5.970382042,8061.78,,1.786810919,8.994889655,0.198647342,,,,,,,8061.78,5.970382042
6.167268777,8154.88,,1.819256078,9.0063718,0.201996555,,,,,,,8154.88,6.167268777
6.363137336,8288.88,,1.850521548,9.022670136,0.205096886,,,,,,,8288.88,6.363137336
6.566860564,8391.88,,1.882035874,9.035019851,0.208304564,,,,,,,8391.88,6.566860564
6.755713771,8893.08,,1.910388631,9.093028725,0.210093764,,,,,,,8893.08,6.755713771
6.943330752,8986.68,,1.937781595,9.10349876,0.212861192,,,,,,,8986.68,6.943330752
7.139538843,10037.98,,1.965648186,9.214131178,0.213329738,,,,,,,10037.98,7.139538843
7.325322369,10295.11,,1.991337163,9.239424304,0.215526108,,,,,,,10295.11,7.325322369
7.507209486,10557.11,,2.015863824,9.264554846,0.217588849,,,,,,,10557.11,7.507209486
7.694800379,13727.11,,2.040544825,9.527127989,0.214182577,,,,,,,13727.11,7.694800379
7.87402282,16037.01,,2.063569091,9.682654455,0.213120183,,,,,,,16037.01,7.87402282
8.058489193,16260.56,,2.086726094,9.696497823,0.215204101,,,,,,,16260.56,8.058489193
8.232530563,16519.56,,2.108093448,9.712300412,0.217053979,,,,,,,16519.56,8.232530563
8.414545044,16875.92,,2.129961761,9.733643033,0.218824725,,,,,,,16875.92,8.414545044
8.604165927,16971.22,,2.152246496,9.739274247,0.220986332,,,,,,,16971.22,8.604165927
8.781633778,17044.77,,2.17266247,9.743598691,0.222983575,,,,,,,17044.77,8.781633778
8.959672683,18235.47,,2.192733695,9.811123878,0.22349465,,,,,,,18235.47,8.959672683
9.149518494,18323.61,,2.213701254,9.815945671,0.225520936,,,,,,,18323.61,9.149518494
9.331563336,18425.61,,2.233402561,9.821496824,0.227399408,,,,,,,18425.61,9.331563336
9.511830393,18656.51,,2.252536328,9.833950426,0.229057117,,,,,,,18656.51,9.511830393
9.691074111,18861.51,,2.271205267,9.844878617,0.230699164,,,,,,,18861.51,9.691074111
9.870151153,19025.72,,2.289515168,9.853547027,0.232354416,,,,,,,19025.72,9.870151153
10.05374941,19302.98,,2.307945641,9.868014767,0.233881454,,,,,,,19302.98,10.05374941
10.23337727,20272.58,,2.325654659,9.917024513,0.234511335,,,,,,,20272.58,10.23337727
10.4143255,20743.78,,2.34318231,9.940001722,0.235732586,,,,,,,20743.78,10.4143255
10.59792481,21100.78,,2.360658209,9.957065286,0.237083733,,,,,,,21100.78,10.59792481
10.77453831,21224.78,,2.377185787,9.962924646,0.238603209,,,,,,,21224.78,10.77453831
10.95301089,21396.38,,2.393614386,9.970977028,0.240058159,,,,,,,21396.38,10.95301089
11.1430602,21615.61,,2.410816901,9.981171018,0.241536479,,,,,,,21615.61,11.1430602
11.3195595,21699.61,,2.426532159,9.985049567,0.243016536,,,,,,,21699.61,11.3195595
11.49663405,21897.61,,2.442054301,9.994132777,0.244348795,,,,,,,21897.61,11.49663405
11.68016615,21990.11,,2.457892202,9.998348086,0.245829829,,,,,,,21990.11,11.68016615
11.85929926,22577.05,,2.473112308,10.02468918,0.246702143,,,,,,,22577.05,11.85929926
12.03617887,22669.24,,2.48791702,10.02876422,0.248078125,,,,,,,22669.24,12.03617887
12.21587964,22820.54,,2.502736715,10.03541629,0.249390423,,,,,,,22820.54,12.21587964
12.39393987,22967.46,,2.517207633,10.04183371,0.250672109,,,,,,,22967.46,12.39393987
12.57696237,23052.54,,2.531866757,10.04553124,0.25203911,,,,,,,23052.54,12.57696237
12.75153661,25872.68,,2.545651783,10.16094286,0.250533028,,,,,,,25872.68,12.75153661
12.92622377,34136.35,,2.559258098,10.43811808,0.245183862,,,,,,,34136.35,12.92622377
