Stress_Data,AE_Reduced_Data,,,,,,,,AE_Reduced_Data,Stress_Data,,,
5.004181283,34619.14152,1.61027382,10.45216203,0.154061314,,,,,,,,34619.14152,5.004181283
5.037358254,34689.67902,1.616881789,10.45419749,0.154663406,,,,,,,,34689.67902,5.037358254
5.072892452,34746.87552,1.623911158,10.45584493,0.155311328,,,,,,,,34746.87552,5.072892452
5.122667549,35285.31552,1.633675309,10.47122217,0.156015724,,,,,,,,35285.31552,5.122667549
5.15110272,35800.89502,1.639210812,10.48572817,0.1563278,,,,,,,,35800.89502,5.15110272
5.180556674,35972.08252,1.644912517,10.49049843,0.156800225,,,,,,,,35972.08252,5.180556674
5.21490908,36121.13502,1.651521654,10.49463343,0.157368208,,,,,,,,36121.13502,5.21490908
5.248256073,36231.74552,1.657895845,10.49769096,0.157929572,,,,,,,,36231.74552,5.248256073
5.285794263,36571.93602,1.665022894,10.50703645,0.158467414,,,,,,,,36571.93602,5.285794263
5.31646828,36690.18052,1.670809226,10.51026444,0.158969285,,,,,,,,36690.18052,5.31646828
5.343667451,36841.11952,1.675912206,10.51436988,0.159392548,,,,,,,,36841.11952,5.343667451
5.371690791,37074.07702,1.681142718,10.52067327,0.159794214,,,,,,,,37074.07702,5.371690791
5.404944769,37192.39802,1.687314233,10.52385967,0.160332263,,,,,,,,37192.39802,5.404944769
5.442305593,37583.46052,1.694202793,10.53431935,0.160826982,,,,,,,,37583.46052,5.442305593
5.465635956,37725.63152,1.698480484,10.53809502,0.161175286,,,,,,,,37725.63152,5.465635956
5.495243087,38672.08002,1.703882825,10.56287317,0.161308651,,,,,,,,38672.08002,5.495243087
5.53073456,39107.88102,1.710320639,10.57407929,0.161746531,,,,,,,,39107.88102,5.53073456
5.562893726,39155.09802,1.716118427,10.57528591,0.162276315,,,,,,,,39155.09802,5.562893726
5.592590472,39199.50952,1.721442592,10.57641951,0.162762321,,,,,,,,39199.50952,5.592590472
5.621222818,39278.28152,1.726549224,10.57842701,0.163214174,,,,,,,,39278.28152,5.621222818
5.647753152,39509.07452,1.731257794,10.58428566,0.163568695,,,,,,,,39509.07452,5.647753152
5.672614316,39687.22702,1.73565009,10.58878468,0.163914004,,,,,,,,39687.22702,5.672614316
5.713589232,39938.13602,1.742847413,10.59508694,0.164495811,,,,,,,,39938.13602,5.713589232
5.736122476,41046.37502,1.746783455,10.6224578,0.164442494,,,,,,,,41046.37502,5.736122476
