ABS Energy,Category
77647.138,Original_data
77647.138,Original_data
77907.138,Original_data
77918.838,Original_data
78084.838,Original_data
78197.838,Original_data
78495.838,Original_data
78748.838,Original_data
78750.698,Original_data
78750.698,Original_data
78767.998,Original_data
78770.578,Original_data
78771.638,Original_data
78840.038,Original_data
78854.638,Original_data
80824.638,Original_data
80834.268,Original_data
80922.968,Original_data
81009.068,Original_data
81075.368,Original_data
81096.468,Original_data
81100.478,Original_data
81224.478,Original_data
81224.478,Original_data
81224.478,Original_data
81316.178,Original_data
81327.078,Original_data
81365.778,Original_data
81378.078,Original_data
81756.078,Original_data
81796.778,Original_data
81823.378,Original_data
81997.378,Original_data
82490.378,Original_data
82507.378,Original_data
82552.478,Original_data
83501.478,Original_data
83555.878,Original_data
83555.878,Original_data
83621.978,Original_data
83787.978,Original_data
83787.978,Original_data
83788.976,Original_data
83788.976,Original_data
83798.346,Original_data
83907.346,Original_data
83923.846,Original_data
83925.176,Original_data
84169.176,Original_data
84179.476,Original_data
84179.476,Original_data
84311.476,Original_data
84494.476,Original_data
84592.676,Original_data
84674.976,Original_data
84676.546,Original_data
84703.746,Original_data
84708.656,Original_data
218708.656,Original_data
233708.656,Original_data
233991.656,Original_data
234138.656,Original_data
234203.656,Original_data
234203.656,Original_data
234206.376,Original_data
234244.276,Original_data
234672.276,Original_data
234803.276,Original_data
234822.676,Original_data
234894.976,Original_data
234921.376,Original_data
235418.376,Original_data
235435.076,Original_data
235448.476,Original_data
235448.476,Original_data
235464.576,Original_data
235496.676,Original_data
235498.076,Original_data
235504.916,Original_data
235606.916,Original_data
235618.116,Original_data
235618.116,Original_data
235628.716,Original_data
235640.716,Original_data
239290.716,Original_data
239350.116,Original_data
239350.116,Original_data
239457.116,Original_data
239490.716,Original_data
239507.316,Original_data
239515.536,Original_data
239522.186,Original_data
239523.184,Original_data
239733.184,Original_data
239758.084,Original_data
240019.084,Original_data
240051.284,Original_data
240053.734,Original_data
240053.734,Original_data
240065.934,Original_data
240065.934,Original_data
240086.834,Original_data
240086.834,Original_data
240086.834,Original_data
240149.334,Original_data
240149.334,Original_data
240184.934,Original_data
240187.824,Original_data
240187.824,Original_data
240415.824,Original_data
240425.454,Original_data
240435.004,Original_data
240446.904,Original_data
240631.904,Original_data
240631.904,Original_data
240642.904,Original_data
240718.204,Original_data
241119.204,Original_data
241119.204,Original_data
241144.704,Original_data
241144.704,Original_data
241145.894,Original_data
241352.894,Original_data
241369.194,Original_data
241369.194,Original_data
241372.334,Original_data
241372.334,Original_data
241398.934,Original_data
241419.334,Original_data
241431.434,Original_data
241452.434,Original_data
241453.494,Original_data
241462.084,Original_data
241462.084,Original_data
241502.484,Original_data
241550.084,Original_data
241550.084,Original_data
241568.184,Original_data
241803.184,Original_data
241804.514,Original_data
241805.704,Original_data
241806.914,Original_data
241890.014,Original_data
241890.014,Original_data
241890.014,Original_data
241895.084,Original_data
242076.084,Original_data
242131.284,Original_data
242135.114,Original_data
