ABS Energy,Category
3.7645,Original_data
84.5715,Original_data
376.0245,Original_data
430.5165,Original_data
438.2665,Original_data
552.8295,Original_data
817.9025,Original_data
1165.688,Original_data
1400.819,Original_data
2296.978,Original_data
2965.652,Original_data
3077.06,Original_data
3213.635,Original_data
3642.3635,Original_data
3687.933,Original_data
3738.763,Original_data
3915.688,Original_data
3961.8065,Original_data
4077.965,Original_data
4101.844,Original_data
6459.844,Original_data
6479.5415,Original_data
6679.729,Original_data
6721.35,Original_data
7085.9435,Original_data
8022.109,Original_data
8061.52,Original_data
8422.5585,Original_data
9920.322,Original_data
10298.755,Original_data
10412.599,Original_data
10610.9155,Original_data
10658.2055,Original_data
10761.5745,Original_data
10781.42452,Original_data
11307.39152,Original_data
11487.61052,Original_data
11690.00702,Original_data
12084.05052,Original_data
13158.78202,Original_data
13213.53352,Original_data
13221.49152,Original_data
13326.90452,Original_data
13343.41352,Original_data
13438.59302,Original_data
30803.09302,Original_data
31864.13052,Original_data
31887.71152,Original_data
31923.21802,Original_data
32077.64602,Original_data
32174.90052,Original_data
32956.29252,Original_data
32983.38352,Original_data
32986.23252,Original_data
33019.92252,Original_data
33144.39052,Original_data
33418.39152,Original_data
33484.64102,Original_data
33541.91902,Original_data
33720.69452,Original_data
33740.58452,Original_data
33863.28402,Original_data
33864.09552,Original_data
34105.61152,Original_data
34164.15602,Original_data
34265.29802,Original_data
34274.90802,Original_data
34372.49802,Original_data
34466.88302,Original_data
34619.14152,Original_data
34627.56302,Original_data
34689.67902,Original_data
34696.69202,Original_data
34696.69202,Original_data
34746.87552,Original_data
35285.31552,Original_data
35295.92602,Original_data
35800.89502,Original_data
35972.08252,Original_data
36121.13502,Original_data
36122.93852,Original_data
36231.74552,Original_data
36571.93602,Original_data
36690.18052,Original_data
36841.11952,Original_data
37074.07702,Original_data
37192.39802,Original_data
37583.46052,Original_data
37611.68752,Original_data
37725.63152,Original_data
38672.08002,Original_data
39107.88102,Original_data
39155.09802,Original_data
39199.50952,Original_data
39278.28152,Original_data
39509.07452,Original_data
39687.22702,Original_data
39710.40852,Original_data
39938.13602,Original_data
39953.95752,Original_data
41046.37502,Original_data
41330.44252,Original_data
41568.11852,Original_data
41589.38552,Original_data
41598.15902,Original_data
41665.37002,Original_data
41666.82302,Original_data
41866.78802,Original_data
41867.32602,Original_data
42254.43552,Original_data
42426.29152,Original_data
42468.78052,Original_data
42562.58102,Original_data
42562.58102,Original_data
42574.93752,Original_data
42631.13502,Original_data
42647.17652,Original_data
42647.17652,Original_data
42793.95302,Original_data
43121.69252,Original_data
43193.89002,Original_data
43214.43202,Original_data
43450.99152,Original_data
43482.09452,Original_data
43511.98502,Original_data
43656.07952,Original_data
43761.88853,Original_data
43768.32403,Original_data
43872.72353,Original_data
43933.73103,Original_data
44006.80603,Original_data
44051.05353,Original_data
44058.19403,Original_data
44162.64553,Original_data
44240.79253,Original_data
44240.79253,Original_data
44307.61353,Original_data
44358.28803,Original_data
44358.28803,Original_data
44503.59953,Original_data
44543.40703,Original_data
44645.72653,Original_data
44742.73553,Original_data
44930.48203,Original_data
44970.15053,Original_data
45008.22903,Original_data
45634.62603,Original_data
45680.79553,Original_data
